image_name,predicted_count,ground_truth_count,absolute_error,squared_error
TCGA-G9-6356-01Z-00-DX1,215,358,143,20449
TCGA-DK-A2I6-01A-01-TS1,221,250,29,841
TCGA-AR-A1AK-01Z-00-DX1,304,272,32,1024
TCGA-CH-5767-01Z-00-DX1,49,132,83,6889
TCGA-B0-5710-01Z-00-DX1,187,293,106,11236
TCGA-NH-A8F7-01A-01-TS1,218,206,12,144
TCGA-AR-A1AS-01Z-00-DX1,388,291,97,9409
TCGA-F9-A8NY-01Z-00-DX1,620,640,20,400
TCGA-18-5592-01Z-00-DX1,253,184,69,4761
TCGA-MH-A561-01Z-00-DX1,425,391,34,1156
TCGA-50-5931-01Z-00-DX1,333,173,160,25600
TCGA-B0-5698-01Z-00-DX1,232,298,66,4356
TCGA-21-5784-01Z-00-DX1,193,295,102,10404
TCGA-HE-7128-01Z-00-DX1,43,810,767,588289
TCGA-G2-A2EK-01A-02-TSB,251,330,79,6241
TCGA-21-5786-01Z-00-DX1,212,192,20,400
TCGA-XS-A8TJ-01Z-00-DX1,562,613,51,2601
TCGA-UZ-A9PJ-01Z-00-DX1,572,439,133,17689
TCGA-38-6178-01Z-00-DX1,307,284,23,529
TCGA-RD-A8N9-01A-01-TS1,509,456,53,2809
TCGA-G9-6348-01Z-00-DX1,67,232,165,27225
TCGA-KB-A93J-01A-01-TS1,566,435,131,17161
TCGA-AY-A8YK-01A-01-TS1,175,212,37,1369
TCGA-G9-6336-01Z-00-DX1,101,131,30,900
TCGA-E2-A1B5-01Z-00-DX1,73,210,137,18769
TCGA-FG-A87N-01Z-00-DX1,484,466,18,324
TCGA-A7-A13F-01Z-00-DX1,219,250,31,961
TCGA-BC-A217-01Z-00-DX1,361,451,90,8100
TCGA-HE-7129-01Z-00-DX1,269,598,329,108241
TCGA-49-4488-01Z-00-DX1,251,271,20,400
TCGA-UZ-A9PN-01Z-00-DX1,525,520,5,25
TCGA-HE-7130-01Z-00-DX1,385,657,272,73984
TCGA-A7-A13E-01Z-00-DX1,273,257,16,256
TCGA-B0-5711-01Z-00-DX1,233,274,41,1681
TCGA-G9-6362-01Z-00-DX1,114,289,175,30625
TCGA-E2-A14V-01Z-00-DX1,212,279,67,4489
TCGA-G9-6363-01Z-00-DX1,1,218,217,47089
