image_name,component_id,area,perimeter,circularity,eccentricity,centroid_x,centroid_y,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col
TCGA-18-5592-01Z-00-DX1,1,10.0,11.6068,0.9328,0.7917,115.3,2.8,2,114,5,118
TCGA-18-5592-01Z-00-DX1,4,11.0,14.8436,0.6274,0.9623,245.8182,8.3636,8,243,10,250
TCGA-18-5592-01Z-00-DX1,5,15.0,13.7329,0.9995,0.4761,171.4667,10.8667,9,170,14,174
TCGA-18-5592-01Z-00-DX1,6,5.0,7.8145,1.0,0.8165,60.8,10.4,10,60,12,63
TCGA-18-5592-01Z-00-DX1,8,21.0,16.4144,0.9794,0.6872,119.0,14.619,12,117,18,122
TCGA-18-5592-01Z-00-DX1,9,23.0,18.8659,0.812,0.8983,221.8261,13.7826,12,218,16,226
TCGA-18-5592-01Z-00-DX1,10,10.0,11.0514,1.0,0.6124,209.2,14.0,13,208,16,212
TCGA-18-5592-01Z-00-DX1,11,14.0,13.7329,0.9329,0.4763,182.5,17.0,15,181,20,185
TCGA-18-5592-01Z-00-DX1,17,10.0,11.2814,0.9874,0.6164,133.7,20.7,19,132,23,136
TCGA-18-5592-01Z-00-DX1,18,8.0,10.496,0.9125,0.8124,198.625,19.75,19,197,22,201
TCGA-18-5592-01Z-00-DX1,19,9.0,11.0514,0.926,0.7863,9.6667,22.5556,21,9,25,12
TCGA-18-5592-01Z-00-DX1,20,10.0,11.0514,1.0,0.6124,25.2,24.0,23,24,26,28
TCGA-18-5592-01Z-00-DX1,22,10.0,11.2814,0.9874,0.6164,111.7,25.3,24,110,28,114
TCGA-18-5592-01Z-00-DX1,23,29.0,23.2135,0.6763,0.9252,216.1724,25.6552,24,212,28,221
TCGA-18-5592-01Z-00-DX1,24,8.0,9.7106,1.0,0.6124,49.125,25.875,25,48,28,51
TCGA-18-5592-01Z-00-DX1,25,37.0,25.0143,0.7431,0.9274,96.7297,28.5135,25,93,33,102
TCGA-18-5592-01Z-00-DX1,26,8.0,9.7106,1.0,0.6124,38.875,26.875,26,38,29,41
TCGA-18-5592-01Z-00-DX1,28,13.0,12.9475,0.9745,0.744,79.4615,32.3846,31,78,35,82
TCGA-18-5592-01Z-00-DX1,29,16.0,15.0737,0.8849,0.8596,105.3125,33.375,31,104,37,108
TCGA-18-5592-01Z-00-DX1,30,9.0,11.0514,0.926,0.5612,161.2222,34.6667,33,160,37,163
TCGA-18-5592-01Z-00-DX1,31,9.0,11.0514,0.926,0.787,169.2222,34.8889,33,168,37,171
TCGA-18-5592-01Z-00-DX1,32,6.0,8.3699,1.0,0.7906,83.0,35.5,35,82,37,85
TCGA-18-5592-01Z-00-DX1,34,9.0,10.496,1.0,0.6946,55.1111,37.3333,36,54,40,57
TCGA-18-5592-01Z-00-DX1,35,28.0,23.9989,0.6109,0.8856,92.9643,40.6429,36,90,45,96
TCGA-18-5592-01Z-00-DX1,36,10.0,11.0514,1.0,0.7906,45.5,38.0,37,44,40,48
TCGA-18-5592-01Z-00-DX1,37,19.0,19.8813,0.604,0.9628,171.4737,40.3684,37,169,45,175
TCGA-18-5592-01Z-00-DX1,38,8.0,9.7106,1.0,0.6124,71.875,40.875,40,71,43,74
TCGA-18-5592-01Z-00-DX1,39,19.0,16.1844,0.9115,0.8097,98.5789,44.2632,42,97,48,101
TCGA-18-5592-01Z-00-DX1,40,6.0,8.5999,1.0,0.6742,39.1667,44.1667,43,38,46,41
TCGA-18-5592-01Z-00-DX1,41,27.0,20.762,0.7871,0.637,73.9259,46.7778,44,71,50,78
TCGA-18-5592-01Z-00-DX1,42,15.0,15.8591,0.7495,0.9059,163.5333,46.9333,45,161,50,167
TCGA-18-5592-01Z-00-DX1,43,9.0,11.0514,0.926,0.7889,251.0,46.3333,45,250,49,253
TCGA-18-5592-01Z-00-DX1,44,8.0,9.7106,1.0,0.6124,153.125,46.875,46,152,49,155
TCGA-18-5592-01Z-00-DX1,47,14.0,15.0737,0.7743,0.9097,43.5714,50.3571,49,41,53,47
TCGA-18-5592-01Z-00-DX1,48,9.0,11.8368,0.8072,0.7339,11.1111,52.4444,51,10,55,14
TCGA-18-5592-01Z-00-DX1,50,12.0,14.8436,0.6844,0.9445,94.3333,54.5,52,93,58,96
TCGA-18-5592-01Z-00-DX1,51,5.0,7.8145,1.0,0.8165,64.4,53.8,53,64,56,66
TCGA-18-5592-01Z-00-DX1,52,11.0,11.6068,1.0,0.7084,36.9091,55.6364,54,36,58,39
TCGA-18-5592-01Z-00-DX1,54,8.0,11.8368,0.7175,0.9269,88.75,57.0,55,88,60,91
TCGA-18-5592-01Z-00-DX1,56,58.0,37.7318,0.5119,0.9582,103.8793,65.5517,57,101,73,108
TCGA-18-5592-01Z-00-DX1,57,28.0,20.762,0.8163,0.8908,193.9286,59.75,58,190,62,199
TCGA-18-5592-01Z-00-DX1,59,17.0,15.629,0.8746,0.8466,175.5294,62.4706,60,174,66,178
TCGA-18-5592-01Z-00-DX1,60,5.0,8.5999,0.8496,0.7871,84.8,62.0,61,84,64,87
TCGA-18-5592-01Z-00-DX1,61,9.0,12.3921,0.7365,0.9296,70.4444,63.5556,62,69,66,73
TCGA-18-5592-01Z-00-DX1,62,7.0,9.7106,0.9329,0.7239,185.1429,64.2857,63,184,66,187
TCGA-18-5592-01Z-00-DX1,63,12.0,14.2883,0.7386,0.9218,209.1667,64.5833,64,207,67,213
TCGA-18-5592-01Z-00-DX1,64,26.0,24.5543,0.5419,0.9651,112.0769,68.9615,65,110,75,115
TCGA-18-5592-01Z-00-DX1,65,6.0,8.3699,1.0,0.7906,149.5,67.0,66,149,69,151
TCGA-18-5592-01Z-00-DX1,66,7.0,9.7106,0.9329,0.8887,215.7143,67.5714,67,214,69,218
TCGA-18-5592-01Z-00-DX1,69,28.0,30.1473,0.3871,0.9779,193.1429,72.3929,69,188,77,200
TCGA-18-5592-01Z-00-DX1,70,20.0,16.1844,0.9595,0.7146,156.75,72.45,71,154,75,160
TCGA-18-5592-01Z-00-DX1,71,9.0,10.266,1.0,0.0,29.0,74.0,73,28,76,31
TCGA-18-5592-01Z-00-DX1,73,10.0,11.6068,0.9328,0.6547,20.1,75.2,74,19,78,22
TCGA-18-5592-01Z-00-DX1,74,50.0,31.5834,0.6299,0.9515,206.1,76.4,74,200,79,214
TCGA-18-5592-01Z-00-DX1,75,6.0,8.3699,1.0,0.7906,41.0,76.5,76,40,78,43
TCGA-18-5592-01Z-00-DX1,77,16.0,14.8436,0.9125,0.8696,160.5,78.875,78,158,81,164
TCGA-18-5592-01Z-00-DX1,78,48.0,38.6125,0.4046,0.9864,234.6458,79.5833,78,226,82,244
TCGA-18-5592-01Z-00-DX1,80,5.0,7.8145,1.0,0.8165,249.8,79.4,79,249,81,252
TCGA-18-5592-01Z-00-DX1,81,6.0,8.5999,1.0,0.6742,70.1667,81.8333,81,69,84,72
TCGA-18-5592-01Z-00-DX1,83,17.0,17.5251,0.6956,0.9014,46.5882,84.5294,83,44,87,51
TCGA-18-5592-01Z-00-DX1,84,7.0,9.7106,0.9329,0.7239,175.7143,84.8571,84,175,87,178
TCGA-18-5592-01Z-00-DX1,85,17.0,14.2883,1.0,0.6259,204.1176,85.5882,84,202,88,207
TCGA-18-5592-01Z-00-DX1,87,6.0,9.1553,0.8995,0.9129,33.5,85.5,85,32,87,36
TCGA-18-5592-01Z-00-DX1,88,16.0,14.2883,0.9849,0.7118,182.9375,86.6875,85,181,89,186
TCGA-18-5592-01Z-00-DX1,89,23.0,17.5251,0.9411,0.8199,231.5217,86.913,85,229,90,235
TCGA-18-5592-01Z-00-DX1,90,24.0,17.5251,0.982,0.7082,22.2917,87.9583,86,20,91,26
TCGA-18-5592-01Z-00-DX1,91,8.0,9.7106,1.0,0.6124,95.875,86.875,86,95,89,98
TCGA-18-5592-01Z-00-DX1,92,14.0,13.7329,0.9329,0.7513,104.5,89.2143,87,103,92,107
TCGA-18-5592-01Z-00-DX1,93,15.0,13.7329,0.9995,0.6521,142.4,90.0667,88,141,93,145
